player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,NE,2019,1,REG,24,36,341,3,0,1,7,0,0,286,136,14,17.000392685887647,0,0.20024871511954323,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,25.64,25.64
00-0019596,T.Brady,NE,2019,2,REG,20,28,264,2,0,2,9,0,0,264,91,13,15.971405789570726,0,0.2515207371173505,2,1,1,0,0,1,0.6033521215140354,0,0,0,0,0,0,0,0,0,0,NA,0,0,24.660000000000004,24.660000000000004
00-0019596,T.Brady,NE,2019,3,REG,28,42,306,2,0,0,-0,0,0,287,141,16,10.751856933755334,0,0.17948922200230294,2,-1,0,0,0,0,-0.2949321792111732,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.14,20.14
00-0019596,T.Brady,NE,2019,4,REG,18,39,150,0,1,0,-0,0,0,289,90,5,-15.861764188154499,0,-0.040857813856109065,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.7,3.7
00-0019596,T.Brady,NE,2019,5,REG,28,42,348,3,1,4,36,0,0,316,151,16,13.163980075174228,0,0.17800563240475167,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,23.92,23.92
00-0019596,T.Brady,NE,2019,6,REG,31,41,334,0,1,3,21,2,1,280,160,17,-2.469827357177193,0,0.14471060850975045,7,6,2,0,0,3,-1.809844079776667,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.96,21.96
00-0019596,T.Brady,NE,2019,7,REG,31,45,249,1,1,0,-0,0,0,223,123,12,4.303886531846858,0,0.1238301960247555,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.96,11.96
00-0019596,T.Brady,NE,2019,8,REG,20,36,259,2,0,3,20,0,0,253,110,11,5.203697655814255,0,0.0812233077471195,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.36,18.36
00-0019596,T.Brady,NE,2019,9,REG,30,46,285,1,1,2,17,0,0,318,155,17,2.100136131268302,0,0.08585208514880607,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.4,13.4
00-0019596,T.Brady,NE,2019,11,REG,26,47,216,0,0,1,7,0,0,333,134,13,-5.902884174963047,0,-0.014931554103741822,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.540000000000001,8.540000000000001
00-0019596,T.Brady,NE,2019,12,REG,17,37,190,1,0,2,9,1,0,385,47,10,-6.427478593254853,0,-0.04630433577464527,2,-3,0,0,0,0,-1.5317916901549324,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.3,11.3
00-0019596,T.Brady,NE,2019,13,REG,24,47,326,3,1,3,23,0,0,498,128,16,3.3059810436203674,0,0.038682493039865394,1,13,0,0,0,1,2.0951044596731663,0,0,0,0,0,0,0,0,0,0,NA,0,0,24.34,24.34
00-0019596,T.Brady,NE,2019,14,REG,19,36,169,1,1,3,20,0,0,249,81,7,-19.551673256053785,0,-0.029534612718535726,2,20,0,0,0,2,3.5634750696481206,0,0,0,0,0,0,0,0,0,0,NA,0,0,10.76,10.76
00-0019596,T.Brady,NE,2019,15,REG,15,29,128,2,0,2,12,0,0,157,94,7,-2.4328362015612917,0,-0.03368845343641106,2,-2,0,0,0,0,-1.4039972048485652,0,0,0,0,0,0,0,0,0,0,NA,0,0,12.920000000000002,12.920000000000002
00-0019596,T.Brady,NE,2019,16,REG,26,33,271,1,0,0,-0,0,0,167,138,11,12.185161863778282,1,0.20840830929204052,4,4,0,0,0,1,-0.3894475158139219,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.240000000000002,17.240000000000002
00-0019596,T.Brady,NE,2019,17,REG,16,29,221,2,1,1,4,0,0,308,84,8,0.15550199315392232,0,0.04745285796666754,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.84,14.84
00-0019596,T.Brady,NE,2019,18,POST,20,37,209,0,1,0,-0,0,0,329,134,11,-3.114878125000261,0,-0.012953832479154267,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.359999999999999,6.359999999999999
00-0020531,D.Brees,NO,2019,1,REG,32,43,370,2,1,1,8,0,0,295,134,19,13.203921862504867,0,0.21914332907095924,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.8,20.8
00-0020531,D.Brees,NO,2019,2,REG,3,5,38,0,1,0,-0,0,0,55,7,2,-2.475386181846261,0,0.008420453823633281,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.48,-0.48
00-0020531,D.Brees,NO,2019,8,REG,34,43,373,3,1,0,-0,0,0,228,242,20,13.713395747882254,0,0.17355033532101255,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,24.92,24.92
00-0020531,D.Brees,NO,2019,10,REG,32,45,287,0,0,6,46,0,0,260,150,12,-17.636839336873248,0,0.039514503565917555,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.48,11.48
00-0020531,D.Brees,NO,2019,11,REG,28,35,228,3,0,0,-0,0,0,157,131,14,11.733587336960039,0,0.24919983604650903,3,0,0,0,0,1,1.7501859806943685,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.12,21.12
00-0020531,D.Brees,NO,2019,12,REG,30,39,311,3,1,2,11,0,0,374,124,17,9.076232692741842,0,0.16124644866400953,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,22.439999999999998,22.439999999999998
00-0020531,D.Brees,NO,2019,13,REG,18,30,184,1,0,0,-0,0,0,163,113,10,-0.6099197249283472,0,-0.00592360598273131,1,-1,0,0,0,0,-1.9091695026727393,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.26,11.26
00-0020531,D.Brees,NO,2019,14,REG,29,40,349,5,0,0,-0,0,0,215,195,17,18.05662356897336,0,0.20269427516630464,1,1,1,0,0,1,2.391545363003388,0,0,0,0,0,0,0,0,0,0,NA,0,0,40.06,40.06
00-0020531,D.Brees,NO,2019,15,REG,29,30,307,4,0,0,-0,0,0,202,103,18,21.453377060263005,0,0.4006249886968791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,28.28,28.28
00-0020531,D.Brees,NO,2019,16,REG,27,38,279,3,0,3,24,0,0,262,142,15,8.603932129951685,0,0.14371595897992223,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,22.86,22.86
00-0020531,D.Brees,NO,2019,17,REG,19,30,253,3,0,0,-0,0,0,214,154,15,18.676652229449246,0,0.2877147128906086,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,22.02,22.02
00-0020531,D.Brees,NO,2019,18,POST,26,33,208,1,1,3,31,1,1,200,87,11,-14.271743137139472,0,0.07391394317742844,1,5,0,0,0,0,0.161572000477463,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.82,8.82
00-0021206,J.McCown,PHI,2019,2,REG,3,5,24,0,0,0,-0,0,0,22,15,2,1.1289297543116845,0,0.04296032309569281,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.96,0.96
00-0021206,J.McCown,PHI,2019,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.2,-0.2
00-0021206,J.McCown,PHI,2019,18,POST,18,24,174,0,0,6,14,1,0,146,78,9,-4.132982522605739,0,0.10808149364464005,5,23,0,1,0,2,0.8840933323954232,0,0,0,0,0,0,0,0,0,0,NA,0,0,9.26,9.26
00-0022127,J.Witten,DAL,2019,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,4,15,1,0,0,3,16,1,0.06046539102680981,0,0,7.5,10.5
00-0022127,J.Witten,DAL,2019,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,4,25,1,0,0,15,10,2,2.890881922299741,0,0,8.5,12.5
00-0022127,J.Witten,DAL,2019,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,4,54,0,0,0,42,22,2,5.3068394127807466,0,0,5.4,8.4
00-0022127,J.Witten,DAL,2019,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,4,50,0,1,1,40,10,3,-0.8116703261621296,0,0,3,7
00-0022127,J.Witten,DAL,2019,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,4,29,0,0,0,57,3,2,0.9377835218037944,0,0,2.9000000000000004,5.9
