player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,TB,2021,1,REG,32,50,379,4,2,0,-0,0,0,446,176,22,14.006987331264142,0,0.8497757847533632,0.168449136155643,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,27.16,27.16
00-0019596,T.Brady,TB,2021,2,REG,24,36,276,5,0,3,17,1,1,347,88,14,1.8543642080330756,0,0.7953890489913544,0.11840362298228495,1,6,0,0,0,1,1.2840403866721317,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,29.64,29.64
00-0019596,T.Brady,TB,2021,3,REG,41,55,432,1,0,3,21,1,0,382,238,24,13.163302539915692,0,1.130890052356021,0.13787075900271414,3,14,1,0,0,1,0.5629274345119484,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,28.68,28.68
00-0019596,T.Brady,TB,2021,4,REG,22,43,269,0,0,1,8,0,0,459,109,12,2.2452076453571177,0,0.5860566448801743,0.015135240871623778,4,3,0,0,0,1,1.6620586980134249,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.06,11.06
00-0019596,T.Brady,TB,2021,5,REG,30,41,411,5,0,2,15,0,0,421,225,24,28.323593633513028,0,0.9762470308788599,0.3494027360989328,1,13,0,0,0,1,0.865390934081435,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,37.739999999999995,37.739999999999995
00-0019596,T.Brady,TB,2021,6,REG,34,42,297,2,1,0,-0,0,0,283,191,17,13.495770434703445,0,1.0494699646643109,0.24188962658855798,4,1,0,0,0,1,-3.689732155238744,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.980000000000004,17.980000000000004
00-0019596,T.Brady,TB,2021,7,REG,20,36,211,4,0,0,-0,0,0,281,75,12,9.262589475397338,0,0.7508896797153025,0.10395990227401111,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,24.439999999999998,24.439999999999998
00-0019596,T.Brady,TB,2021,8,REG,28,40,375,4,2,3,25,1,1,340,205,13,0.9626899479771964,0,1.1029411764705883,0.0912172158397874,1,2,0,0,0,1,0.5013113231398165,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,25.2,25.2
00-0019596,T.Brady,TB,2021,10,REG,23,34,220,2,2,0,-0,0,0,208,113,8,-2.893736566748424,0,1.0576923076923077,0.027084057491789375,1,2,0,0,0,1,2.0381709905341268,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,13,13
00-0019596,T.Brady,TB,2021,11,REG,30,46,307,2,1,0,-0,0,0,344,128,16,6.539577307886393,0,0.8924418604651163,0.105098351838273,1,10,0,0,0,1,1.5303811880294234,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,19.28,19.28
00-0019596,T.Brady,TB,2021,12,REG,25,34,226,1,1,2,9,0,0,199,129,11,-1.315539552459383,0,1.135678391959799,0.08785420210609726,2,2,0,0,0,1,0.0663431974244304,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.24,11.24
00-0019596,T.Brady,TB,2021,13,REG,38,51,368,4,1,0,-0,0,0,324,167,22,15.678909607755486,0,1.1358024691358024,0.19381316960616207,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,28.619999999999997,28.619999999999997
00-0019596,T.Brady,TB,2021,14,REG,31,46,363,2,0,2,12,0,0,347,214,13,8.564773943474162,0,1.0461095100864553,0.12505295465132793,7,16,1,0,0,4,1.4493907076539472,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,30.12,30.12
